dt_iso,humidity,temp,rain,dummy,rain_yesterday,rain_2d_ago,rain_3d_ago,rain_4d_ago,rain_5d_ago,rain_6d_ago,rain_7d_ago,temp_yesterday,humidity_yesterday
1979-06-25 00:00:00+00:00,88.58333333,27.25625,16.21,1,10.97,35.03,23.77,19.03,12.84,2.24,0.61,27.59625,86.95833333
1979-06-26 00:00:00+00:00,86.58333333,28.20708333,7.29,1,16.21,10.97,35.03,23.77,19.03,12.84,2.24,27.25625,88.58333333
1979-06-27 00:00:00+00:00,81.875,29.15375,0.51,1,7.29,16.21,10.97,35.03,23.77,19.03,12.84,28.20708333,86.58333333
1979-06-28 00:00:00+00:00,76.95833333,29.40416667,1.65,1,0.51,7.29,16.21,10.97,35.03,23.77,19.03,29.15375,81.875
1979-06-29 00:00:00+00:00,78.20833333,29.4975,0,0,1.65,0.51,7.29,16.21,10.97,35.03,23.77,29.40416667,76.95833333
1979-06-30 00:00:00+00:00,77,29.49375,0.65,1,0,1.65,0.51,7.29,16.21,10.97,35.03,29.4975,78.20833333
1979-07-01 00:00:00+00:00,84.20833333,28.53458333,0.29,1,0.65,0,1.65,0.51,7.29,16.21,10.97,29.49375,77
1979-07-02 00:00:00+00:00,81.45833333,29.38416667,1.67,1,0.29,0.65,0,1.65,0.51,7.29,16.21,28.53458333,84.20833333
1979-07-03 00:00:00+00:00,84.45833333,28.51833333,17.91,1,1.67,0.29,0.65,0,1.65,0.51,7.29,29.38416667,81.45833333
1979-07-04 00:00:00+00:00,81.66666667,29.38416667,5.36,1,17.91,1.67,0.29,0.65,0,1.65,0.51,28.51833333,84.45833333
1979-07-05 00:00:00+00:00,73.95833333,30.49333333,0,0,5.36,17.91,1.67,0.29,0.65,0,1.65,29.38416667,81.66666667
1979-07-06 00:00:00+00:00,75.54166667,30.1675,2,1,0,5.36,17.91,1.67,0.29,0.65,0,30.49333333,73.95833333
1979-07-07 00:00:00+00:00,78,29.86083333,0.7,1,2,0,5.36,17.91,1.67,0.29,0.65,30.1675,75.54166667
1979-07-08 00:00:00+00:00,78.125,29.69916667,0.52,1,0.7,2,0,5.36,17.91,1.67,0.29,29.86083333,78
1979-07-09 00:00:00+00:00,79.5,29.3425,1.15,1,0.52,0.7,2,0,5.36,17.91,1.67,29.69916667,78.125
1979-07-10 00:00:00+00:00,80.625,28.92333333,3.59,1,1.15,0.52,0.7,2,0,5.36,17.91,29.3425,79.5
1979-07-11 00:00:00+00:00,81.04166667,29.5275,0.96,1,3.59,1.15,0.52,0.7,2,0,5.36,28.92333333,80.625
1979-07-12 00:00:00+00:00,80.45833333,29.33916667,0.14,1,0.96,3.59,1.15,0.52,0.7,2,0,29.5275,81.04166667
1979-07-13 00:00:00+00:00,82.79166667,29.15083333,0.53,1,0.14,0.96,3.59,1.15,0.52,0.7,2,29.33916667,80.45833333
1979-07-14 00:00:00+00:00,81.29166667,29.71,0,0,0.53,0.14,0.96,3.59,1.15,0.52,0.7,29.15083333,82.79166667
1979-07-15 00:00:00+00:00,76.83333333,29.85541667,1.36,1,0,0.53,0.14,0.96,3.59,1.15,0.52,29.71,81.29166667
1979-07-16 00:00:00+00:00,74.125,29.97958333,0.61,1,1.36,0,0.53,0.14,0.96,3.59,1.15,29.85541667,76.83333333
1979-07-17 00:00:00+00:00,74.08333333,29.92583333,0,0,0.61,1.36,0,0.53,0.14,0.96,3.59,29.97958333,74.125
